yearweek,campaign_id,campaign_name,currency,impressions,ctr,cpc,cpm,cost,media,clicks,cost_convertion,store_group_id,tabla_medio,name_storeGroup,campaign,ISOweek,sales
202211,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,18992,0.009,0.78,7.01,133.09,Facebook,170,4.59,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202213,188
202210,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,22015,0.0094,0.64,6.05,133.12,Facebook,208,2.66,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202212,168
202209,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,23233,0.0084,0.68,5.71,132.76,Facebook,195,2.29,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202211,179
202208,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,23611,0.0081,0.7,5.65,133.46,Facebook,191,2.62,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202210,190
202207,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,25083,0.0084,0.63,5.29,132.8,Facebook,211,3.69,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202209,156
202206,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,22518,0.0092,0.64,5.91,133.04,Facebook,208,2.18,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202208,146
202205,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,23442,0.0094,0.6,5.67,132.97,Facebook,220,3.09,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202207,151
202204,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,21876,0.0089,0.69,6.08,132.96,Facebook,194,2.89,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202206,130
202203,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,25376,0.0077,0.68,5.24,132.98,Facebook,196,3.59,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202205,157
202202,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,27391,0.0108,0.45,4.86,132.99,Facebook,296,1.98,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202204,170
202201,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,27406,0.0113,0.43,4.86,133.09,Facebook,310,1.85,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202203,157
202218,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,18734,0.0106,0.67,7.1,133.09,Facebook,198,2.66,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202220,110
202225,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,6115,0.0105,0.88,9.19,56.21,Facebook,64,4.01,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202227,49
202224,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,6613,0.0089,0.95,8.48,56.11,Facebook,59,5.1,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202226,63
202223,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,7016,0.0104,0.77,7.97,55.95,Facebook,73,5.09,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202225,44
202222,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,9279,0.0088,0.84,7.43,68.97,Facebook,82,3.63,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202224,52
202221,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,11491,0.007,1.04,7.31,83.97,Facebook,81,3.65,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202223,68
202220,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,11193,0.0088,0.86,7.64,85.48,Facebook,99,3.17,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202222,56
202219,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,17353,0.0071,1.02,7.27,126.22,Facebook,124,4.07,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202221,55
202217,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,14808,0.0077,1.11,8.52,126.16,Facebook,114,3.94,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202219,48
202216,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,15446,0.0065,1.25,8.16,126.08,Facebook,101,7.42,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202218,60
