store_group_id,ISOweek,sales,name,campaign,tabla_medio,yearweek,cost_campaign
98,202134,309,JAL_WEST,JAL_STAGEIII,,,
76,202134,641,JAL_WEST>0350,JAL_STAGEII,,,
71,202134,118,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202134,223,JAL_EAST>0350,JAL_STAGEII,,,
74,202134,160,JAL_WINIL,JAL_STAGEII,,,
137,202134,405,JAL_TEXAS,JAL_STAGEIV,,,
97,202134,414,JAL_TEXAS,JAL_STAGEIII,,,
72,202134,621,JAL_TEXAS>1,JAL_STAGEII,,,
143,202135,1520,JAL_AWARENESS,JAL_STAGEIV,,,
118,202135,1536,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202135,356,JAL_FLORIDA,JAL_STAGEII,,,
136,202135,811,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202135,774,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202135,1233,JAL_CALI>1,JAL_STAGEII,,,
77,202135,226,JAL_CENTER>0350,JAL_STAGEII,,,
141,202135,253,JAL_NAC,JAL_STAGEIV,,,
98,202135,274,JAL_WEST,JAL_STAGEIII,,,
76,202135,759,JAL_WEST>0350,JAL_STAGEII,,,
71,202135,175,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202135,365,JAL_EAST>0350,JAL_STAGEII,,,
74,202135,320,JAL_WINIL,JAL_STAGEII,,,
137,202135,409,JAL_TEXAS,JAL_STAGEIV,,,
97,202135,438,JAL_TEXAS,JAL_STAGEIII,,,
72,202135,670,JAL_TEXAS>1,JAL_STAGEII,,,
143,202136,1523,JAL_AWARENESS,JAL_STAGEIV,,,
118,202136,1547,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202136,385,JAL_FLORIDA,JAL_STAGEII,,,
136,202136,828,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202136,778,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202136,1271,JAL_CALI>1,JAL_STAGEII,,,
77,202136,206,JAL_CENTER>0350,JAL_STAGEII,,,
141,202136,230,JAL_NAC,JAL_STAGEIV,,,
98,202136,265,JAL_WEST,JAL_STAGEIII,,,
76,202136,760,JAL_WEST>0350,JAL_STAGEII,,,
71,202136,155,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202136,313,JAL_EAST>0350,JAL_STAGEII,,,
74,202136,324,JAL_WINIL,JAL_STAGEII,,,
137,202136,338,JAL_TEXAS,JAL_STAGEIV,,,
97,202136,370,JAL_TEXAS,JAL_STAGEIII,,,
72,202136,597,JAL_TEXAS>1,JAL_STAGEII,,,
143,202137,1500,JAL_AWARENESS,JAL_STAGEIV,,,
118,202137,1486,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202137,349,JAL_FLORIDA,JAL_STAGEII,,,
136,202137,855,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202137,826,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202137,1303,JAL_CALI>1,JAL_STAGEII,,,
77,202137,222,JAL_CENTER>0350,JAL_STAGEII,,,
141,202137,245,JAL_NAC,JAL_STAGEIV,,,
98,202137,302,JAL_WEST,JAL_STAGEIII,,,
76,202137,765,JAL_WEST>0350,JAL_STAGEII,,,
71,202137,146,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202137,252,JAL_EAST>0350,JAL_STAGEII,,,
74,202137,321,JAL_WINIL,JAL_STAGEII,,,
